state_abbr,year,quarter,moud_generic,utilization_type,number_of_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,scripts_per100k,total_reimb_per100k,medicaid_reimb_per100k,nonmedicaid_reimb_per100k,pop
AK,2013,3,Naltrexone,FFSU,115,31878.46,31878.46,0,15.577547741797405,4318.158544217208,4318.158544217208,0,NA
AK,2013,4,Buprenorphine,FFSU,1315,367791.14,364689.22,3101.92,178.1258720040312,49819.86123791386,49399.68465625093,420.1765816629235,NA
AK,2013,4,Methadone,FFSU,207,4753.63,4753.63,0,28.03958593523533,643.9121588855687,643.9121588855687,0,NA
AK,2013,4,Naltrexone,FFSU,112,49476.21,49476.21,0,15.17117693114182,6701.895855288645,6701.895855288645,0,NA
AK,2014,1,Buprenorphine,FFSU,1345,360950.41,355321.04,5629.37,182.2932902515783,48921.06903833174,48158.09775257447,762.9712857572694,NA
AK,2014,1,Methadone,FFSU,128,2848.99,2840.09,8.9,17.3483577339792,386.1351382853859,384.92888528669516,1.206252998690741,NA
AK,2014,1,Naltrexone,FFSU,120,43896.259999999995,43896.259999999995,0,16.264085375605497,5949.437669248137,5949.437669248137,0,NA
AK,2014,2,Buprenorphine,FFSU,1363,365323.46,361547.96,3775.4999999999995,184.73290305791912,49513.76619293,49002.05740680001,511.7087861299879,NA
AK,2014,2,Methadone,FFSU,140,3325.71,3325.71,0,18.97476627153975,450.74692812087466,450.74692812087466,0,NA
AK,2014,2,Naltrexone,FFSU,152,46849.18,46849.18,0,20.601174809100296,6349.658860809247,6349.658860809247,0,NA
AK,2014,3,Buprenorphine,FFSU,1345,308797,306560.06,2236.94,182.2932902515783,41852.50643109043,41549.32490492287,303.18152616755805,NA
AK,2014,3,Methadone,FFSU,125,2498.2000000000003,2498.2000000000003,0,16.94175559958906,338.5911507111472,338.5911507111472,0,NA
AK,2014,3,Naltrexone,FFSU,127,34374.26,34374.26,0,17.212823689182486,4658.882494693842,4658.882494693842,0,NA
AK,2014,4,Buprenorphine,FFSU,1362,303336.53,301862.76,1473.77,184.5973690131224,41112.42684549933,40912.68083629927,199.74600920005096,NA
AK,2014,4,Methadone,FFSU,133,3131.93,3131.93,0,18.02602795796276,424.4831409201677,424.4831409201677,0,NA
AK,2014,4,Naltrexone,FFSU,126,47514.39,47514.39,0,17.077289644385772,6439.817462748468,6439.817462748468,0,NA
AK,2015,1,Buprenorphine,FFSU,1349,298707.24,295718.14,2989.1,182.47311260714716,40404.773788799204,40000.451786653895,404.32200214531025,NA
AK,2015,1,Methadone,FFSU,133,3604.3100000000004,3604.3100000000004,0,17.990306876760986,487.5386690148752,487.5386690148752,0,NA
AK,2015,1,Naltrexone,FFSU,117,48076.25,48066.42,9.83,15.826059432940117,6503.056323187071,6501.726663663773,1.3296595232974473,NA
AK,2015,2,Buprenorphine,FFSU,1585,356382.73,352083.8,4298.93,214.395762403505,48206.27577652522,47624.779010046164,581.4967664790535,NA
AK,2015,2,Methadone,FFSU,197,6579.47,6579.47,0,26.64729665204447,889.9750705747565,889.9750705747565,0,NA
AK,2015,2,Naltrexone,FFSU,179,69558.01,69558.01,0,24.21251827774599,9408.79658373541,9408.79658373541,0,NA
AK,2015,3,Buprenorphine,FFSU,1422,340748.73000000004,333563.83,7184.9000000000005,192.3474915695799,46091.535492981755,45119.66665178746,971.8688411942859,NA
AK,2015,3,Methadone,FFSU,148,5264.23,5264.23,0,20.019288855343053,712.0685200740713,712.0685200740713,0,NA
AK,2015,3,Naltrexone,FFSU,208,71080.78,71080.78,0,28.135216769671317,9614.774776237104,9614.774776237104,0,NA
AK,2015,4,Buprenorphine,FFSU,1248,306197.55,302673.66,3523.8900000000003,168.8113006180279,41417.95405573208,40941.293435431704,476.66062030037057,NA
AK,2015,4,Methadone,FFSU,55,2122.69,2122.69,0,7.439600588134243,287.1266504077577,287.1266504077577,0,NA
AK,2015,4,Naltrexone,FFSU,223,80817.65,80817.65,0,30.164198748253384,10931.83702675686,10931.83702675686,0,NA
AK,2016,1,Buprenorphine,FFSU,1594,398357.70999999996,391880.45,6477.26,214.38649015422646,53577.485114664494,52706.32009759024,871.1650170742565,NA
AK,2016,1,Methadone,FFSU,43,1651.92,1651.92,0,5.7833243893549175,222.1764936107715,222.1764936107715,0,NA
AK,2016,1,Naltrexone,FFSU,280,128161.32,128161.32,0,37.658856488822714,17237.174133207445,17237.174133207445,0,NA
AK,2016,2,Buprenorphine,FFSU,1764,417018.44,413272.35,3746.09,237.2507958795831,56087.277089831165,55583.44328374469,503.8338060864782,NA
AK,2016,2,Methadone,FFSU,87,2983.68,2983.68,0,11.701144694741345,401.29277474489487,401.29277474489487,0,NA
AK,2016,2,Naltrexone,FFSU,324,175394.26,175394.26,0,43.57667679420914,23589.81166536878,23589.81166536878,0,NA
AK,2016,3,Buprenorphine,FFSU,2473,583747.26,578835,4912.26,332.6084003459235,78511.62246458387,77850.94355609892,660.6789084849438,NA
AK,2016,3,Methadone,FFSU,156,5142.16,5142.16,0,20.981362900915514,691.599519580588,691.599519580588,0,NA
AK,2016,3,Naltrexone,FFSU,496,315308.59,314036.67,1271.92,66.70997435162882,42407.71764465373,42236.64959913492,171.06804551879782,NA
AK,2016,4,Buprenorphine,FFSU,2541,630445.6,625595.89,4849.71,341.75412263606614,84792.35848003476,84140.09229109758,652.266188937173,NA
AK,2016,4,Methadone,FFSU,124,4046.28,4046.28,0,16.677493587907204,544.2081351199771,544.2081351199771,0,NA
AK,2016,4,Naltrexone,FFSU,577,387932.93,385592.86,2340.07,77.60414355018109,52175.39477913753,51860.66492090968,314.72985822785495,NA
AK,2017,1,Buprenorphine,FFSU,3011,787814.89,778472.5399999999,9342.35,405.8006172589927,106175.94441973612,104916.85063141011,1259.0937883259883,NA
AK,2017,1,Methadone,FFSU,135,4239.47,4239.47,0,18.194315287268022,571.3648431919568,571.3648431919568,0,NA
AK,2017,1,Naltrexone,FFSU,874,613805.85,611317.89,2487.96,117.79134489683149,82724.2752597744,82388.96615857356,335.3091012008248,NA
AK,2017,2,Buprenorphine,FFSU,3306,900102.14,893993.1499999999,6108.99,445.55856547931916,121309.20093262712,120485.87582042883,823.3251121982776,NA
AK,2017,2,Methadone,FFSU,149,3894.81,3894.81,0,20.081133168910632,524.9140824000324,524.9140824000324,0,NA
AK,2017,2,Naltrexone,FFSU,985,738854.61,733944.19,4910.42,132.75111524414075,99577.43500586262,98915.64441569294,661.7905901696788,NA
AK,2017,3,Buprenorphine,FFSU,3910,973200.28,966093.0700000001,7107.21,526.9612798016145,131160.83505168534,130202.97712907182,957.8579226135123,NA
AK,2017,3,Methadone,FFSU,166,4206.35,4206.35,0,22.37226916804809,566.9011711748137,566.9011711748137,0,NA
AK,2017,3,Naltrexone,FFSU,1224,1006470.48,1002629.78,3840.7000000000003,164.96179193789675,135644.74992924434,135127.12839795684,517.6215312874837,NA
AK,2017,4,Buprenorphine,FFSU,4923,1046212.39,1037406.51,8805.880000000001,663.4860308090406,141000.87467486085,139814.08240003235,1186.7922748285018,NA
AK,2017,4,Methadone,FFSU,145,4239.0999999999995,4239.0999999999995,0,19.54204234558417,571.314977290799,571.314977290799,0,NA
AK,2017,4,Naltrexone,FFSU,1089,859140.11,855786.09,3354.0200000000004,146.7674766506287,115788.63731317133,115336.60696235798,452.0303508133534,NA
AK,2018,1,Buprenorphine,FFSU,5675,1209841.47,1201084.2,8757.27,769.2224279506288,163988.93268524366,162801.92149729314,1187.0111879505203,NA
AK,2018,1,Methadone,FFSU,170,4700.55,4700.55,0,23.04278638794835,637.139820916886,637.139820916886,0,NA
AK,2018,1,Naltrexone,FFSU,1324,1005554.28,1005495.91,58.37,179.46264222143304,136298.66162074826,136290.74981226906,7.9118084792032075,NA
AK,2018,2,Buprenorphine,FFSU,4482,1037306.1599999999,1032565.74,4740.42,607.5162858281442,140602.49566931158,139959.95163725773,642.5440320538713,NA
AK,2018,2,Methadone,FFSU,111,3163.43,3163.43,0,15.045584053307453,428.7896573131027,428.7896573131027,0,NA
AK,2018,2,Naltrexone,FFSU,1076,774702.41,773403.49,1298.92,145.84728325548485,105007.65969328696,104831.59653978675,176.06315350019926,NA
AK,2018,3,Buprenorphine,FFSU,6433,1486277.4800000002,1472659.56,13617.92,871.966146080422,201458.67344034227,199612.82154852946,1845.8518918127625,NA
AK,2018,3,Methadone,FFSU,170,4788.280000000001,4788.280000000001,0,23.04278638794835,649.0312541510903,649.0312541510903,0,NA
AK,2018,3,Naltrexone,FFSU,1296,889682.37,889623.5,58.87,175.66735975753568,120592.71061784487,120584.73103646454,7.979581380344232,NA
AK,2018,4,Buprenorphine,FFSU,5729,1355511.57,1345086.73,10424.84,776.5419012738595,183733.90325825,182320.859956788,1413.043301461997,NA
